Park2019,parkCode,RecreationalVisits2019,NonRecreationalVisits2019,TotalVisits2019,RecreationVisitorHours2019,NonRecreationVisitorHours2019,VisitorDays2019,ConcessionerLodging2019,ConcessionerCamping2019,TentOvernights2019,RecreationVehicleOvernights2019,BackcountryOvernights2019,MiscellaneousOvernights2019,NonRecreationOvernights2019,TotalRecreationVisits2019,TotalNonRecreationVisits2019,SumOfTotalVisits2019,TotalRecreationVisitorHours2019,TotalNonRecreationVisitorHours2019,TotalVisitorDays2019,TotalConcessionerLodging2019,TotalConcessionerCamping2019,TotalTentOvernights2019,TotalRecreationVehicleOvernights2019,TotalBackcountryOvernights2019,TotalMiscellaneousOvernights2019,TotalNonRecreationOvernights2019
Capulin Volcano NM,CAVO,"83,307",408,"83,715","115,957",408,"9,663",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Carl Sandburg Home NHS,CARL,"78,404",0,"78,404","120,352",0,"10,029",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Carlsbad Caverns NP,CAVE,"430,108",0,"430,108","1,658,778",0,"138,231",0,0,0,0,194,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Carter G. Woodson Home NHS,CAWO,"2,070",0,"2,070","1,059",0,88,0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Casa Grande Ruins NM,CAGR,"62,095","2,160","64,255","84,579",216,"7,048",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Castillo de San Marcos NM,CASA,"638,518",0,"638,518","478,889",0,"39,907",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Castle Clinton NM,CACL,"4,384,657",594,"4,385,251","2,203,434",116,"183,619",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Catoctin Mountain Park,CATO,"296,864","192,234","489,098","1,272,387","22,684","106,032",0,0,"3,851",580,634,"20,425",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cedar Breaks NM,CEBR,"571,319","52,617","623,936","1,215,212","105,237","101,267",0,0,"2,004","2,028",0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cesar E. Chavez NM,CECH,"15,338",0,"15,338","7,671",0,639,0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
